County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index
Hoonah-Angoon Census Area, AK,0.6,4.5,47.8,10.3,0.606696
Denver County, CO,10.2,30.9,53.4,3.1,0.60615
Osceola County, FL,13.1,48.6,37.3,2.5,0.605921
Westchester County, NY,15.9,23.3,55.7,2.2,0.605911
Oklahoma County, OK,15.8,16.0,58.2,5.1,0.605322
Navajo County, AZ,1.2,11.0,42.6,2.0,0.605139
Atlantic County, NJ,17.3,18.2,57.2,2.5,0.602527
Lake County, IN,25.5,17.8,54.8,1.7,0.602447
NEW JERSEY,,14.7,18.9,57.6,2.0,0.601993
Coconino County, AZ,1.6,13.9,55.0,2.7,0.601825
Stewart County, GA,50.8,25.1,27.7,1.5,0.601801
Anchorage Municipality, AK,6.3,8.6,60.5,7.8,0.601515
Stanislaus County, CA,3.2,43.5,45.1,3.8,0.6011
Rockdale County, GA,49.5,10.1,37.8,2.0,0.601064
Mitchell County, TX,12.8,38.7,48.2,1.6,0.601006
NEW YORK,,17.5,18.4,57.2,2.3,0.600981
Charles County, MD,43.1,5.0,45.7,3.6,0.600455
Charles City County, VA,47.3,1.7,41.2,2.7,0.600308
Prince of Wales-Hyder Census Area, AK,0.4,3.1,48.0,8.8,0.600004
Otero County, NM,4.1,35.6,51.6,2.9,0.599061
Telfair County, GA,36.2,14.1,50.1,1.0,0.5979
DeKalb County, GA,54.8,9.1,30.0,2.0,0.597853
Guilford County, NC,33.8,7.5,52.9,2.1,0.597774
Muscogee County, GA,46.0,7.3,42.9,2.7,0.597696
FLORIDA,,16.7,23.6,56.4,1.9,0.597203
Douglas County, GA,42.5,8.9,46.2,2.3,0.597172
Ventura County, CA,2.2,41.5,47.3,3.3,0.596774
Kern County, CA,6.3,50.9,36.9,3.0,0.596651
Kings County, CA,7.4,52.7,34.1,3.6,0.59646
Titus County, TX,10.3,40.9,47.5,1.2,0.59568
Geary County, KS,18.7,14.6,58.6,5.7,0.595468
Wilson County, NC,39.6,10.0,48.8,1.4,0.594718
Henrico County, VA,30.0,5.3,55.6,2.2,0.591778
Madison County, TX,20.3,21.8,56.5,1.6,0.5916
Clarke County, GA,27.3,10.7,56.6,1.9,0.591439
Duval County, FL,30.0,8.3,55.6,2.6,0.591257
