County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index
Caddo County,OK,3.0,11.1,58.4,6.1,0.577476
Hopewell city,VA,39.1,6.8,51.4,3.0,0.577249
Neshoba County,MS,21.2,1.9,59.2,1.5,0.577085
Tyrrell County,NC,36.6,6.8,53.3,1.5,0.576528
Karnes County,TX,9.3,51.2,39.1,0.7,0.576124
Coryell County,TX,17.2,17.2,60.2,4.1,0.576055
Marlboro County,SC,51.2,3.1,39.8,1.7,0.575977
Midland County,TX,6.8,41.1,50.0,1.4,0.575881
Hamilton County,FL,33.9,9.3,54.8,1.8,0.575657
Calhoun County,TX,3.0,47.6,44.1,1.1,0.575457
Navarro County,TX,14.0,25.2,58.4,1.6,0.575335
Victoria County,TX,6.8,44.9,46.7,1.4,0.575256
East Baton Rouge Parish,LA,46.0,3.9,45.9,1.3,0.574996
Bladen County,NC,34.7,7.4,54.7,1.5,0.573888
Forsyth County,NC,27.1,12.4,58.0,2.1,0.573836
Tift County,GA,30.4,10.9,56.7,1.3,0.573803
Caldwell County,TX,7.1,48.9,42.6,1.6,0.57378
Swisher County,TX,7.7,42.1,49.3,1.3,0.57337
Gregg County,TX,20.3,17.5,59.6,1.8,0.572375
Shelby County,TN,53.1,5.9,37.6,1.4,0.572351
Northampton County,VA,35.8,8.2,54.1,1.7,0.57207
Gadsden County,FL,55.4,10.3,33.2,1.1,0.572044
Fredericksburg city,VA,24.1,11.1,59.6,3.7,0.571987
Nash County,NC,39.0,6.6,52.1,1.8,0.571598
Saluda County,SC,26.4,14.8,58.0,1.1,0.571553
Lenoir County,NC,40.9,7.1,50.6,1.1,0.571432
Lubbock County,TX,7.8,33.4,55.8,1.6,0.570089
Prince George County,VA,32.4,7.2,56.5,2.9,0.569355
Howard County,TX,7.0,39.4,52.0,1.6,0.568861
Refugio County,TX,6.8,48.7,43.5,1.4,0.568622
Chattahoochee County,GA,18.5,15.1,61.0,3.8,0.568621
Evans County,GA,30.9,11.9,56.7,1.2,0.568559
St. Lucie County,FL,20.0,17.2,60.1,2.0,0.568454
Long County,GA,26.1,11.8,59.0,3.6,0.568373
Grimes County,TX,16.5,22.6,59.5,1.4,0.567388
St. Mary Parish,LA,32.7,6.2,56.7,1.8,0.566763
Nacogdoches County,TX,18.4,18.5,60.4,1.6,0.56654
Vance County,NC,50.7,7.0,41.4,1.3,0.566401
New Castle County,DE,24.7,9.2,60.1,2.3,0.56628
Gonzales County,TX,7.7,49.1,43.2,1.0,0.565984
Garza County,TX,7.3,48.3,44.2,0.7,0.565915
Adams County,MS,53.3,7.6,38.0,1.1,0.565573
Russell County,AL,42.3,4.9,50.3,2.3,0.565034
Martinsville city,VA,45.0,4.4,48.0,2.0,0.564655
Bastrop County,TX,8.0,34.2,55.8,2.0,0.564482
Colorado County,TX,13.3,27.9,58.3,1.2,0.564287
Wake County,NC,21.4,10.0,61.3,2.3,0.56412
Dooly County,GA,49.9,6.8,42.7,0.9,0.563911
Glades County,FL,13.5,21.8,60.6,0.9,0.563845
Texas County,OK,3.3,45.7,47.4,1.7,0.56384
Anderson County,TX,21.5,16.9,60.2,1.5,0.562471
Richmond County,NC,31.0,6.3,58.0,2.0,0.562048
Suffolk city,VA,43.0,3.5,50.1,2.3,0.562004
Halifax County,NC,53.1,2.7,39.2,1.2,0.561931
DeWitt County,TX,9.6,33.8,56.1,1.3,0.561553
Choctaw County,OK,11.0,3.6,62.6,6.8,0.561534
Newton County,GA,42.5,4.8,50.6,1.9,0.560536
Okfuskee County,OK,7.9,4.1,62.1,6.7,0.560324
Dillon County,SC,46.5,2.5,47.1,1.8,0.560247
Sumter County,SC,47.1,3.7,46.5,1.8,0.560046
Leon County,FL,31.4,6.0,58.0,2.1,0.559992
Limestone County,TX,18.0,20.4,60.5,1.4,0.559616
Terrell County,TX,1.2,47.8,45.8,1.3,0.55917
Childress County,TX,10.2,29.3,58.7,1.2,0.558921
Denton County,TX,9.4,18.9,62.5,2.4,0.558831
Tattnall County,GA,29.7,10.9,58.4,1.0,0.558678
Lowndes County,GA,36.8,5.4,55.0,2.0,0.558475
Smith County,TX,17.9,18.3,61.3,1.5,0.558215
Houston County,GA,29.9,6.5,58.9,2.7,0.557975
Sumter County,GA,52.5,5.0,40.5,1.0,0.557514
Grady County,GA,28.9,10.9,58.9,1.3,0.557299
Decatur County,GA,41.4,5.6,51.8,1.1,0.556909
Richmond County,GA,55.2,4.5,36.8,2.5,0.556878
Barbour County,AL,47.6,4.8,46.3,0.9,0.556605
Anson County,NC,48.5,3.4,45.5,1.3,0.556216
Pitt County,NC,34.6,5.8,56.6,1.9,0.555853
Bexar County,TX,8.2,59.1,29.5,2.1,0.555597
Jefferson County,AL,42.8,3.8,51.0,1.1,0.554916
Somerset County,MD,42.8,3.8,51.0,2.0,0.554775
Baker County,GA,45.6,4.4,48.5,1.0,0.554672
Ward County,TX,4.9,50.4,43.4,1.7,0.554663
Pasquotank County,NC,37.8,4.4,54.8,2.1,0.554213
Portsmouth city,VA,53.5,3.6,39.7,2.7,0.553946
Coffee County,GA,28.0,10.6,59.7,1.2,0.55373
Bee County,TX,8.5,57.4,33.1,1.1,0.553516
Dawson County,TX,7.1,54.9,37.4,1.3,0.553319
Mitchell County,GA,47.9,4.4,46.4,0.9,0.553171
Sitka City and Borough,AK,1.0,5.8,63.6,9.3,0.553092
Tulsa County,OK,10.8,11.6,64.3,5.8,0.552901
Chesapeake city,VA,30.0,5.0,59.4,3.1,0.552588
Arlington County,VA,8.9,15.6,63.6,3.1,0.552435
Baltimore County,MD,27.5,4.8,60.5,2.3,0.552251
Okmulgee County,OK,8.7,3.6,63.6,8.4,0.552011
Harmon County,OK,8.0,26.7,60.7,3.8,0.551609
Jones County,TX,13.0,26.3,60.2,1.4,0.551138
Danville city,VA,49.3,3.1,45.3,1.4,0.550431
Caddo Parish,LA,48.0,2.7,46.7,1.4,0.550416
Hall County,TX,7.8,34.6,56.9,1.2,0.550134
Ben Hill County,GA,35.1,6.4,56.8,1.2,0.549835
Washington County,NC,49.2,4.3,45.4,1.7,0.54963
Jenkins County,GA,43.2,5.1,51.1,0.9,0.549508
Tillman County,OK,8.5,24.6,61.7,3.6,0.548564
Greene County,GA,36.9,6.3,55.8,1.2,0.548329
Cherokee County,TX,14.9,21.7,61.8,1.8,0.54817
Madison County,FL,39.0,5.0,54.5,1.3,0.548148
Osage County,OK,11.5,3.3,64.1,7.2,0.547996
Angelina County,TX,15.6,20.8,62.0,1.2,0.547671
St. John the Baptist Parish,LA,54.9,5.2,38.5,1.1,0.547468
Crisp County,GA,43.6,3.3,51.1,1.1,0.547463
Hockley County,TX,4.1,46.2,48.7,1.2,0.54735
McCurtain County,OK,8.7,5.1,64.3,6.7,0.547169
Alachua County,FL,20.4,8.9,63.2,2.5,0.547155
Granville County,NC,32.0,7.5,58.7,1.6,0.547051
Williamson County,TX,6.7,23.8,62.3,2.5,0.546895
Bibb County,GA,53.4,3.2,40.8,1.3,0.546816
Virginia Beach city,VA,20.0,7.5,63.4,3.9,0.546513
Lincoln Parish,LA,41.4,2.7,53.0,1.1,0.546476
Essex County,VA,38.5,3.3,55.1,2.3,0.546371
Tallahatchie County,MS,56.5,6.0,36.2,1.0,0.54594
Tom Green County,TX,4.7,37.3,55.9,1.9,0.545529
Wilkes County,GA,42.6,3.7,52.1,1.4,0.54545
Toombs County,GA,25.9,11.3,61.2,1.3,0.545306
Montgomery County,AL,56.3,3.4,36.9,1.3,0.544959
Polk County,FL,15.6,19.0,62.8,1.9,0.544458
Scurry County,TX,5.2,38.5,55.2,1.4,0.543962
Haywood County,TN,50.1,4.1,45.1,0.9,0.543823
Terry County,TX,5.0,53.0,41.6,1.2,0.543243
Edgefield County,SC,36.8,5.6,56.4,1.3,0.543149
Wilbarger County,TX,8.7,27.7,61.0,1.9,0.542915
Burke County,GA,48.5,3.0,47.0,1.4,0.542753
Harnett County,NC,21.6,11.7,62.9,3.1,0.542616
Lamb County,TX,5.1,53.8,40.6,1.5,0.542523
