County,State,"Black or African American alone, percent, 2013","Hispanic or Latino, percent, 2013","White alone, not Hispanic or Latino, percent, 2013","Two or More Races, percent, 2013",Diversity-Index,"Percent of Blacks, Latino & Two Races"
Terrell County,GA,60.2,2.4,36.1,1.2,0.506501,63.800000000000004
Bailey County,TX,1.6,61.1,36.6,0.8,0.491621,63.5
Tallahatchie County,MS,56.5,6.0,36.2,1.0,0.54594,63.5
Taliaferro County,GA,58.6,3.3,36.1,1.6,0.52487,63.5
Yazoo County,MS,57.2,5.4,36.5,0.9,0.53656,63.5
Dawson County,TX,7.1,54.9,37.4,1.3,0.553319,63.3
Randolph County,GA,60.7,1.7,36.7,0.8,0.496482,63.2
Harris County,TX,19.5,41.6,31.9,1.7,0.682123,62.800000000000004
Edgecombe County,NC,57.7,4.0,37.3,1.1,0.52618,62.800000000000004
Sutton County,TX,0.9,61.1,37.8,0.8,0.48357,62.8
Ector County,TX,4.8,56.4,37.3,1.3,0.540002,62.49999999999999
District of Columbia,DC,49.5,10.1,35.8,2.6,0.614376,62.2
Richmond County,GA,55.2,4.5,36.8,2.5,0.556878,62.2
Warren County,GA,60.3,0.9,37.6,1.0,0.494816,62.199999999999996
Kemper County,MS,60.5,0.7,34.6,0.9,0.512829,62.1
Greensville County,VA,59.2,2.0,37.7,0.9,0.506892,62.1
Cochran County,TX,4.8,56.3,38.2,1.0,0.534065,62.099999999999994
Adams County,MS,53.3,7.6,38.0,1.1,0.565573,62.0
Fairfield County,SC,58.8,1.9,37.9,1.2,0.510092,61.9
Jefferson Davis County,MS,59.8,1.0,38.2,0.9,0.496278,61.699999999999996
Clay County,GA,59.5,1.2,37.6,0.9,0.504339,61.6
Rockdale County,GA,49.5,10.1,37.8,2.0,0.601064,61.6
Northampton County,NC,58.4,2.0,38.4,1.1,0.510927,61.5
Karnes County,TX,9.3,51.2,39.1,0.7,0.576124,61.2
St. John the Baptist Parish,LA,54.9,5.2,38.5,1.1,0.547468,61.2
Winkler County,TX,2.9,57.3,39.2,1.0,0.51668,61.199999999999996
Sussex County,VA,57.8,2.3,38.8,1.0,0.514711,61.099999999999994
Montgomery County,AL,56.3,3.4,36.9,1.3,0.544959,60.99999999999999
Franklin city,VA,56.4,2.2,38.5,2.3,0.532569,60.9
Jasper County,SC,45.5,14.1,39.6,1.2,0.61602,60.800000000000004
Clay County,MS,58.8,1.3,39.4,0.6,0.498807,60.699999999999996
Kinney County,TX,2.0,57.0,40.0,1.4,0.514351,60.4
Lamb County,TX,5.1,53.8,40.6,1.5,0.542523,60.4
Shelby County,TN,53.1,5.9,37.6,1.4,0.572351,60.4
Talbot County,GA,57.3,1.8,39.7,1.3,0.51354,60.39999999999999
Floyd County,TX,3.9,55.7,40.3,0.6,0.525607,60.2
Marion County,SC,56.0,2.9,39.4,1.2,0.530066,60.1
Portsmouth city,VA,53.5,3.6,39.7,2.7,0.553946,59.800000000000004
Crosby County,TX,4.4,53.8,41.2,1.6,0.538474,59.8
Hale County,AL,57.9,1.1,40.2,0.6,0.502985,59.6
Terry County,TX,5.0,53.0,41.6,1.2,0.543243,59.2
Brunswick County,VA,56.1,1.9,40.8,1.1,0.518314,59.1
Vance County,NC,50.7,7.0,41.4,1.3,0.566401,59.0
San Patricio County,TX,2.1,55.4,40.8,1.4,0.52578,58.9
Richmond city,VA,50.1,6.4,40.1,2.2,0.583002,58.7
Hampton County,SC,53.7,3.8,41.4,1.1,0.538618,58.6
Sumter County,GA,52.5,5.0,40.5,1.0,0.557514,58.5
Hampton city,VA,49.7,5.1,40.5,3.6,0.584464,58.400000000000006
Concho County,TX,2.5,54.5,42.6,1.4,0.520625,58.4
Jefferson County,GA,54.1,3.2,41.6,0.8,0.533134,58.1
Bibb County,GA,53.4,3.2,40.8,1.3,0.546816,57.9
Gonzales County,TX,7.7,49.1,43.2,1.0,0.565984,57.800000000000004
Tensas Parish,LA,54.8,1.8,42.3,1.1,0.520317,57.699999999999996
Caldwell County,TX,7.1,48.9,42.6,1.6,0.57378,57.6
Dooly County,GA,49.9,6.8,42.7,0.9,0.563911,57.599999999999994
Broward County,FL,28.5,26.9,40.8,2.0,0.678237,57.4
Warren County,NC,51.7,4.0,38.2,1.6,0.581779,57.300000000000004
Halifax County,NC,53.1,2.7,39.2,1.2,0.561931,57.00000000000001
Ward County,TX,4.9,50.4,43.4,1.7,0.554663,57.0
Andrews County,TX,2.1,53.4,42.9,1.4,0.529877,56.9
Refugio County,TX,6.8,48.7,43.5,1.4,0.568622,56.9
Moore County,TX,2.7,52.9,35.9,1.2,0.584092,56.800000000000004
Liberty County,GA,40.9,11.6,42.7,4.3,0.63442,56.8
Waller County,TX,25.8,29.5,43.6,1.4,0.655844,56.699999999999996
Garza County,TX,7.3,48.3,44.2,0.7,0.565915,56.3
Marlboro County,SC,51.2,3.1,39.8,1.7,0.575977,56.00000000000001
Muscogee County,GA,46.0,7.3,42.9,2.7,0.597696,56.0
Edwards County,TX,0.8,54.6,43.7,0.5,0.510336,55.9
Upton County,TX,2.6,51.6,44.5,1.6,0.533817,55.800000000000004
Washington County,GA,52.6,2.2,44.1,1.0,0.528219,55.800000000000004
St. Helena Parish,LA,53.0,1.4,44.4,1.1,0.52163,55.5
Washington County,NC,49.2,4.3,45.4,1.7,0.54963,55.2
Haywood County,TN,50.1,4.1,45.1,0.9,0.543823,55.1
Copiah County,MS,51.1,2.8,45.3,0.9,0.532785,54.8
Medina County,TX,2.9,50.6,45.3,1.1,0.53763,54.6
Durham County,NC,38.7,13.5,42.1,2.3,0.651831,54.5
Pike County,MS,52.4,1.3,45.0,0.8,0.522646,54.49999999999999
