DATE,Price_($)
1980-12-31,0.6736666666666666
1981-12-31,0.7698333333333335
1982-12-31,0.7386666666666667
1983-12-31,0.7844999999999999
1984-12-31,0.8073333333333333
1985-12-31,0.7781666666666666
1986-12-31,0.8237500000000001
1987-12-31,0.8230999999999999
1988-12-31,0.8340833333333332
1989-12-31,0.912
1990-12-31,1.0802500000000002
1991-12-31,1.0065833333333334
1992-12-31,1.09425
1993-12-31,1.08375
1994-12-31,1.0858333333333332
1995-12-31,1.15625
1996-12-31,1.2100000000000002
1997-12-31,1.2929166666666667
1998-12-31,1.4761666666666666
1999-12-31,1.3696666666666666
2000-12-31,1.382
2001-12-31,1.3203333333333334
2002-12-31,1.3244999999999998
2003-12-31,1.5090833333333336
2004-12-31,1.6063333333333334
2005-12-31,1.6110833333333332
2006-12-31,1.7316666666666665
2007-12-31,1.646583333333333
2008-12-31,1.7440833333333334
2009-12-31,1.6227500000000001
2010-12-31,1.6924166666666665
2011-12-31,1.6673333333333336
2012-12-31,1.4565833333333333
2013-12-31,1.5319090909090909
2014-12-31,1.7072500000000002
2015-12-31,1.8411666666666664
2016-12-31,1.9255833333333332
2017-12-31,1.9309999999999998
2018-12-31,1.9163333333333332
2019-12-31,1.9305
2020-12-31,1.9628
2021-12-31,1.8258571428571428
